Timestamp,Discord username Ex. Suifer#0122 (Add #),What country are you from? (Currently living in),"Your message (Please use simple English or Japanese or do a mix of both) Make sure your message is appropriate and something Aqua can read and understand. (Don't make your message into an essay or we will not add it, but also don't make it too short. One paragraph or about 4-5 sentences is good) "
,Chooga#2754,Philippines,"Hello Aqua! Congrats on 1M subs on youtube! You are one of my favorite streamers and it definetly did change me for the better. Here's to 2M subs!"
,Whacko#2215,United States Of America,"Congratulations on hitting 1 Million subscribers! I am so glad I discovered your channel and it has helped me through this tough year. I am very happy that you have achieved this milestone, here’s to another great year!"
,Amateurre#6934,Philippines,"Congratulations on hitting 1 million subscribers! Looking forward to your future growth as a vtuber and as everyone's favorite gamer idol maid!"
,Hinaria#0666,Philippines,"Omedetou 1million subscribers.. love love Akukin. new outfit kokoro doki doki.. Hololive saikyouu desu.. Baqua 草 Banana"
,SilverSA#6528,United States Of America,"Omedeto aqua!!! Thank you for all the laughs and smiles you’ve given us. Looking forward to the future!"
,Aless#5044,Singapore,"Thank you for all that you've done for us. It has been really fun watching you and your streams. Congratulations on 1 million. 100万おめでとうございます！"
,Mortifer#4329,Philippines,"Hello Aqua-chan!! Congrats on 1 million subs!!! I really love watching your videos. You are one of the reasons that I can smile without worries even if we are quarantined. I hope you can reach higher and higher heights!! がんばってね!! きみなら　できるよ！! "
,CoubeFro#9691,Brazil,"Akutan, Konakua. Congrats on 1M subscribers!!!⚓
Your lives were one of the best things that happenned to me through this year.
本当に本当にありがとうございます
Otsuaqua⚓!!"
,Dairy#4794,Australia,"Congratulations on 1 Million Subscribers Aqua. I love your streams and especially when you play Apex Legends. I think you have a very good singing voice too! I think you are also very good at Apex Legends. Your streams always have positive energy and I love being there. You deserve the big milestone."
,fiber#1376,United States Of America,"Congratulations on 1 million subs Aqua! Thank you for providing entertaining content through the years! We're blessed that an Onion like you exist! Thank you for making us all smile every time you stream!  I love Onion "
,UniverseRuling#0283,United States Of America,"100万人おめでとうございます！あくあちゃんがずっと大好き！ライブに必ず応援します！"
,Seiba#4899,United States Of America,"Congrats Aqua on 1 million subs! Glad to see your hard work paying off! Your singing is great as always. I also really enjoy the Apex and Minecraft streams. "
,Clock#9818,Singapore,"Akukin-boss, congratulations on your 1 Million! I'm looking forward to your content everyday, POGPOGPOG with the pog dance! Also would you move in with Shion? Onion-Garlic!"
,HIYUKI#0151,Singapore,"Congratulations Aqua-chan, galaxy's number one super idol nekomimi gamer cosplay onion marine maid (^)o(^)!!!!!!!!!!!! In 2020, I have seen Aqua-chan worked extremely hard in communicating better, such as asking Subaru and Noel for a sleepover, and in idol work as well, such as in AQUA-IRO SUPER DREAM and BEYOND THE STAGE. I also really felt the love Aqua-chan had towards the Aqua Crew in Aqua-Iro Pallete. In addition, I admire Aqua-chan's persistence towards her goals, such as her APEX SOLO DIAMOND CHALLENGE and SMASH CLOUD VIP 耐久, even when things seemed to be going badly. This year, I look forward to more of Aqua-chan's streams, even beyond 1 million subscribers!!!!!!!!!!!!!! AKUKIN建設最高!!!! AKUKIN建設への栄光あれ!!!!!!!!!!!!!!!!!!!!"
,Dino#6639,Canada,"100万人達成おめでとう！いつも楽しい時間をありがとう！これからもずっと応援してるよ！！"
,Thien#0007,United States Of America,"Congratulations on 1 million subscribers Aqua! Thank you for all of your hard work! Your streams help me get through my days so I am very thankful for you! Keep up the hard work, I will always support you!"
,EruwaYuril#8362,Mexico,"Congratulations on 1M Aqua-chan! Thank you for all the fun streams, you always make my days better! Can't wait to see you on stage for Bloom!"
,花に亡霊#6625,Vietnam,"Congrats Aqua for 1M subs hope your channel will grow up more in the future"
,"Dncディエンシ#3112 ",Indonesia,"あくあちゃん100万人おめでとうございます！これからもよろしくね！ "
,ET#4488,United States Of America,"おめでとう Aqua on 1 million subs! I enjoy watching your streams! Keep on going! Fight on!"
,Pistachio#3790,Indonesia,"Congratulation for your achivement 1 mil on youtube. i hope u can keep smile on your stream and I look forward to seeing your great content and can you create art content or something that makes you happy (^o^)"
,BurritoCakes#4650,Singapore,"First of all, Congratulations on hitting 1 million subscribers!!!!!!! I've only been an AquaCrew for 6 months, but the journey has been amazing, and I'm glad I chose to become one. Here's to better times for Aqua!!! LOVE YOU LOVE YOU OAOAO I LOVE YOU SO MUCH!!!"
,Jotu#6849,Indonesia,"あくあちゃん、100万おめでとううう！ Thank you for making me smile and happy when i am sad! 本当にありがとう！Love from Indonesia ❤"
,toletroi#4791,Vietnam,"Congratulate on hitting 1M subs Aqua. Hope you will be even more successful and happy in the future. ╰(￣ω￣ｏ)"
,[Shiomi]#0484,Philippines,"To Aqua, Our super idol gamer maid~ 100万人突破おめでとうございます！！！あなたは一生懸命働いていて、本当にそれに値する。あなたのストリームはいつも私を幸せにしてくれるし、私はあなたの甘い声が大好きで、私は毎日あなたの歌を聴いています あなたはとても可愛くて愛らしいです。私たちはいつもあなたのアクアを応援しています! 私たちはあなたをとても愛しています! 世界一のオニオン！！！(●´□`)♡"
,Niggy#7033,Indonesia,"100万人おめでとうございます！！
私たちもいつもあくあを応援してる！！"
,smartsas#8404,Malaysia,"konaqua~ 100万おめでとうございま私が最初にホロライブを知って以来、あなたは私に愛されてきましたす~ ~ 日本語はわかりませんが、ストリーミングするたびに幸せをもたらしてくれてありがとう~ 私はあなたが毎日幸せになることを願っています~ "
